,Name,ID,Coord
10,sweat,1,"[[['107665' '59453']]

 [['107664' '59453']]

 [['107663' '59453']]

 ...

 [['107673' '59446']]

 [['107672' '59447']]

 [['107665' '59453']]]"
11,nerve,1,"[[['112883' '69037']]

 [['112882' '69040']]

 [['112881' '69040']]

 ...

 [['110603' '56183']]

 [['110605' '56184']]

 [['110606' '56184']]]"
12,nerve,2,"[[['112883' '69037']]

 [['112882' '69040']]

 [['112881' '69040']]

 ...

 [['110603' '56183']]

 [['110605' '56184']]

 [['110606' '56184']]]"
13,nerve,3,"[[['112883' '69037']]

 [['112882' '69040']]

 [['112881' '69040']]

 ...

 [['110603' '56183']]

 [['110605' '56184']]

 [['110606' '56184']]]"
14,bloodvessel,1,"[[['107060' '45316']]

 [['107059' '45316']]

 [['107057' '45316']]

 ...

 [['113673' '68921']]

 [['113674' '68920']]

 [['113674' '68920']]]"
15,bloodvessel,2,"[[['107060' '45316']]

 [['107059' '45316']]

 [['107057' '45316']]

 ...

 [['113673' '68921']]

 [['113674' '68920']]

 [['113674' '68920']]]"
16,bloodvessel,3,"[[['107060' '45316']]

 [['107059' '45316']]

 [['107057' '45316']]

 ...

 [['113673' '68921']]

 [['113674' '68920']]

 [['113674' '68920']]]"
17,bloodvessel,4,"[[['107060' '45316']]

 [['107059' '45316']]

 [['107057' '45316']]

 ...

 [['113673' '68921']]

 [['113674' '68920']]

 [['113674' '68920']]]"
18,bloodvessel,5,"[[['107060' '45316']]

 [['107059' '45316']]

 [['107057' '45316']]

 ...

 [['113673' '68921']]

 [['113674' '68920']]

 [['113674' '68920']]]"
19,bloodvessel,6,"[[['107060' '45316']]

 [['107059' '45316']]

 [['107057' '45316']]

 ...

 [['113673' '68921']]

 [['113674' '68920']]

 [['113674' '68920']]]"
20,ecm,1,"[[['119855' '59063']]

 [['119857' '59063']]

 [['119858' '59063']]

 ...

 [['119850' '59063']]

 [['119852' '59063']]

 [['119855' '59063']]]"
21,fat,1,"[[['99367' '57812']]

 [['99350' '57821']]

 [['99332' '57829']]

 ...

 [['106979' '45097']]

 [['106977' '45099']]

 [['106976' '45102']]]"
22,fat,2,"[[['99367' '57812']]

 [['99350' '57821']]

 [['99332' '57829']]

 ...

 [['106979' '45097']]

 [['106977' '45099']]

 [['106976' '45102']]]"
23,white,1,"[[['120818' '59642']]

 [['120817' '59642']]

 [['120815' '59642']]

 ...

 [['120820' '59639']]

 [['120818' '59639']]

 [['120818' '59642']]]"
